盘号,KF,时码,完整 Image Prompt（直接复制到NanoBanana Pro）,Motion Prompt（图生视频，主Prompt，含SFX+VFX）,备注
4,4,00:11-00:15,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition rapid montage of extreme close-ups: audience member screaming with mouth wide open and tears streaming, another clutching vintage flip phone held high recording with tiny screen glowing, hands pushing against security barrier bending metal, fingers gripping chain-link fence white-knuckled, mascara-streaked face pressed against another person's shoulder, crowd surge compressing bodies together, stage lights reflecting in hundreds of eyes, VFX: motion blur on all reaching hands, phone screen glow bloom, sweat and tear micro-detail","quick cut montage with aggressive handheld shake, each cut 0.5-0.8 seconds, increasing pace, with realistic SFX: high-pitched screams layered and overlapping, vintage phone camera shutter clicks, metal barrier creaking under pressure, body impact thuds from crowd surge, fabric tearing, no background music, no BGM",观众尖叫
4,5,00:15-00:18,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition extreme close-up of singer hitting impossible high note, neck tendons straining like cables, face flushed deep red with visible capillaries, sweat streaming down temples and dripping off chin, eyes squeezed shut then suddenly snapping open with bloodshot intensity, frozen 0.7-second frame at peak strain with mouth wide open and visible breath vapor, stage light creating rim light on sweat beads, VFX: sweat streaming detail with individual droplet trails, freeze frame with subtle VHS edge artifact, breath vapor catching light","slow push-in building tension then sudden full freeze frame at 0.7 seconds on the scream peak, slight VHS band rolls through frozen image, with synchronized SFX: strained high vocal note sustaining then cutting to silence on freeze, single sweat drop impact, crowd collective gasp during freeze, faint ringing tone, no background music, no BGM",高音静帧
4,6,00:18-00:20,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition wide chaotic shot of entire crowd at absolute peak frenzy from elevated rear angle, all lights strobing in rapid alternation between red blue and white, singer center stage with arms spread wide like a cruciform silhouette against blinding backlight, crowd hands all raised creating forest of arms, confetti or debris floating in light beams, speaker stacks vibrating visibly, VFX: strobing multi-color flicker creating strobe-frame effect, backlight bloom on singer silhouette, visible speaker vibration blur","rapid camera shake pan pulling back from stage to reveal full crowd scale, strobing intensifies, with realistic SFX: massive crowd roar and unified screams reaching peak volume, light strobe electrical buzz rapid-fire, singer final sustained vocal peak with distortion, speaker cone distortion crackle, then abrupt cut to black with tape tear, no background music, no BGM",全场高潮抖动
5,1,00:00-00:02,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition black CRT monitor screen with flickering white Chinese characters ""第5盘 最终录像带"" in retro digital font, strong VHS glitch distortion more severe than previous tapes, horizontal scanlines rolling faster, heavy color bleed on edges, pure black background, static title card, bottom-right timecode flickering erratically, VFX: heavy glitch distortion and tracking error, multiple color bar flash interruptions, signal instability","static title with heavy glitch more intense than previous tapes, multiple signal interruptions, with synchronized SFX: intense VHS crackle and urgent warning beep pattern, tape mechanism straining sound, magnetic warble, no background music, no BGM",标题卡
5,2,00:02-00:06,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition wide shot of huge dark cavernous test hall with industrial ceiling trusses disappearing into darkness above, massive mecha prototype exactly matching the provided reference images standing center frame: dark gray and red heavy bipedal industrial mecha with glowing bright blue energy core in chest cavity, red shoulder armor plates with riveted edges, intricate exposed mechanical joints and bundled hydraulic cables at elbows and knees, heavy clawed digitigrade legs with armored shin plates, standing restrained by thick industrial chains and surrounded by steel scaffolding with access platforms, rotating red warning beacon lights on scaffolding corners casting sweeping red shadows, control cables running from mecha to floor junction boxes, VFX: red warning light strobe sweeping across scene, blue chest core steady glow with subtle pulse, chain tension glint","slow push-in with handheld shake from entrance doorway toward the mecha, red warning lights sweeping across frame rhythmically, with realistic SFX: red warning alarm siren cycling in slow rhythm, distant heavy machinery hum and transformer buzz, chain tension creaking, ventilation fan drone from above, footsteps of camera operator echoing in vast space, no background music, no BGM",试验大厅
5,3,00:06-00:10,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition quick cut montage: close-up of control room operator hand in white glove hovering then pressing large red mushroom-head emergency start button on gray metal console, cut to mecha chest core exactly matching the provided reference images suddenly flaring from dim blue to blinding bright blue, cut to mechanical joints at knee and elbow simultaneously crackling with blue energy arcs traveling along hydraulic lines, cut to chain links going taut and vibrating, blue energy veins spreading across mecha torso like a circulatory system activating, VFX: blue energy glow flare intensifying, electrical arc crawling along metal surfaces, chain vibration blur","quick cut montage with 0.5-second cuts accelerating, each cut punctuated by blue flash, with synchronized SFX: heavy button mechanical click with electrical relay engage, electrical surge zap building in intensity, core powering hum rising from subsonic to audible, chain links snapping taut with metallic ping, hydraulic pressurization hiss, no background music, no BGM",启动按钮
5,4,00:10-00:14,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition medium shot of mecha exactly matching the provided reference images starting to tremble violently against its restraints, hydraulic pipes at joints bursting with pressurized fluid spraying in arcs catching blue core light, bright welding-intensity sparks showering from stressed chain anchor points, blue chest core pulsing faster and brighter with each tremor, scaffolding platforms shaking with bolts popping loose, floor cracking beneath clawed feet, personnel in hard hats running past camera in foreground blur, VFX: hydraulic fluid spray arcs catching blue light, spark shower cascading from chain points, blue core pulse rhythm accelerating, floor crack propagation","intense camera shake and vibration matching mecha tremor frequency, slight dutch angle increasing, with realistic SFX: violent metal tremor and structural groaning, hydraulic pipe burst with pressurized fluid whoosh and spray hiss, sparks crackle and shower, blue core pulsing hum accelerating like heartbeat, scaffolding bolt pops, running footsteps and shouted warnings in background, no background music, no BGM",颤抖爆裂
5,5,00:14-00:17,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition terrifying extreme close-up of mecha head exactly matching the provided reference images, single glowing bright blue camera-like optical lens in center of angular armored head staring directly at viewer with cold mechanical intelligence, lens iris contracting slowly, dark hydraulic fluid dripping down face plate from cracked armor seam, scratches and battle damage texture on gray metal surface, frozen 1-second frame of deadly unblinking eye contact, slight condensation vapor around head from heat differential, VFX: blue lens glow with internal focusing ring detail, freeze frame with progressive VHS glitch artifacts building from edges inward, fluid drip catching blue light","slow deliberate zoom into the eye lens with sudden full freeze frame at 1 second, VHS artifacts progressively corrupting the frozen image from edges inward, with synchronized SFX: mechanical servo whir of lens focusing, fluid drip with metallic echo, deep resonant subsonic hum building during freeze, all other sound cutting to dead silence, faint electrical crackle, no background music, no BGM",头部直视静帧
5,6,00:17-00:19,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition chaotic wide shot of catastrophic explosion erupting from mecha position, expanding fireball with realistic orange-white core and dark smoke mushroom, steel debris and scaffolding fragments flying outward in all directions with motion trails, personnel silhouettes thrown and running in foreground, mecha exactly matching the provided reference images barely visible through fire and smoke in center, ceiling panels falling, emergency lights activating through smoke, VFX: fireball expansion with volumetric smoke, debris with individual motion blur trails, emergency light strobe through smoke layers","rapid multi-angle cuts with extreme shake: wide explosion then debris close-up then running personnel then back to fireball, each cut more unstable, with realistic SFX: massive deep explosion boom with subsonic pressure wave, secondary explosions popping, fire whoosh and roar, metal debris impacts on concrete with varied pitches, panicked screams and running footsteps overlapping, emergency alarm activating, no background music, no BGM",爆炸灾难
5,7,00:19-00:20,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition extreme overexposed tearing screen with full horizontal band displacement and color channel separation, final frame before black showing ghostly silhouette of the mecha exactly matching the provided reference images standing motionless in the inferno with blue core still glowing through smoke and fire, image progressively consumed by VHS tracking loss from bottom upward, signal degrading to static snow, VFX: full screen tearing with RGB channel separation, overexposure bloom consuming frame, progressive signal loss to snow pattern","overexposure flash with RGB separation then progressive signal loss from bottom up, image consumed by static snow, final cut to absolute black silence, with synchronized SFX: final explosion tail rumbling, VHS tape mechanism straining and tearing, magnetic signal warble descending in pitch, static hiss building then abrupt dead silence for 0.5 seconds, no background music, no BGM",黑屏结束
